Face 1: 0 1 2
Face 2: 52 0 2
Face 3: 53 52 2
Face 4: 2 4 53
Face 5: 4 54 53
Face 6: 53 54 81
Face 7: 81 80 53
Face 8: 108 80 81
Face 9: 109 108 81
Face 10: 81 82 109
Face 11: 82 110 109
Face 12: 109 110 137
Face 13: 137 136 109
Face 14: 164 136 137
Face 15: 165 164 137
Face 16: 137 138 165
Face 17: 138 166 165
Face 18: 165 166 193
Face 19: 193 192 165
Face 20: 220 192 193
Face 21: 221 220 193
Face 22: 193 194 221
Face 23: 194 222 221
Face 24: 221 222 249
Face 25: 249 248 221
Face 26: 276 248 249
Face 27: 277 276 249
Face 28: 249 250 277
Face 29: 250 278 277
Face 30: 277 278 305
Face 31: 305 304 277
Face 32: 332 304 305
Face 33: 333 332 305
Face 34: 305 306 333
Face 35: 306 334 333
Face 36: 333 334 361
Face 37: 361 360 333
Face 38: 361 452 360
Face 39: 360 452 458
Face 40: 460 360 458
Face 41: 460 458 766
Face 42: 768 460 766
Face 43: 768 766 910
Face 44: 912 768 910
Face 45: 912 910 1046
Face 46: 1048 912 1046
Face 47: 1048 1046 1214
Face 48: 1218 1048 1214
Face 49: 1218 1214 1219
Face 50: 1218 1219 1223
Face 51: 1222 1218 1223
Face 52: 1222 1223 1227
Face 53: 1226 1222 1227
Face 54: 1226 1227 1231
Face 55: 1230 1226 1231
Face 56: 1230 1231 1235
Face 57: 1234 1230 1235
Face 58: 1234 1235 1239
Face 59: 1238 1234 1239
Face 60: 1238 1239 1243
Face 61: 1242 1238 1243
Face 62: 1242 1243 1247
Face 63: 1246 1242 1247
Face 64: 1246 1247 1251
Face 65: 1250 1246 1251
Face 66: 1250 1251 1255
Face 67: 1254 1250 1255
Face 68: 1254 1255 1259
Face 69: 1258 1254 1259
Face 70: 1258 1259 1263
Face 71: 1262 1258 1263
Face 72: 1262 1263 1267
Face 73: 1266 1262 1267
Face 74: 1266 1267 1271
Face 75: 1270 1266 1271
Face 76: 1270 1271 1275
Face 77: 1274 1270 1275
Face 78: 1274 1275 1279
Face 79: 1278 1274 1279
