0 <Vector (-56.7619, 9.6669, 1.6653)> <Vector (0.0000, 0.0000)>
1 <Vector (-56.7619, 7.9969, -0.0000)> <Vector (0.0000, 0.0000)>
2 <Vector (-59.8411, 7.9969, 1.6653)> <Vector (0.0000, 0.0000)>
52 <Vector (-56.7619, 9.5170, 4.9249)> <Vector (0.6821, 0.0823)>
0 <Vector (-56.7619, 9.6669, 1.6653)> <Vector (0.6732, 0.0723)>
2 <Vector (-59.8411, 7.9969, 1.6653)> <Vector (0.6840, 0.0629)>
53 <Vector (-59.5140, 7.9969, 4.9249)> <Vector (0.6921, 0.0738)>
52 <Vector (-56.7619, 9.5170, 4.9249)> <Vector (0.6821, 0.0823)>
2 <Vector (-59.8411, 7.9969, 1.6653)> <Vector (0.6840, 0.0629)>
2 <Vector (-59.8411, 7.9969, 1.6653)> <Vector (0.6840, 0.0629)>
4 <Vector (-59.8411, 4.7360, 1.6653)> <Vector (0.6945, 0.0548)>
53 <Vector (-59.5140, 7.9969, 4.9249)> <Vector (0.6921, 0.0738)>
4 <Vector (-59.8411, 4.7360, 1.6653)> <Vector (0.6945, 0.0548)>
54 <Vector (-59.5801, 4.7360, 4.9249)> <Vector (0.7027, 0.0653)>
53 <Vector (-59.5140, 7.9969, 4.9249)> <Vector (0.6921, 0.0738)>
53 <Vector (-59.5140, 7.9969, 4.9249)> <Vector (0.6921, 0.0738)>
54 <Vector (-59.5801, 4.7360, 4.9249)> <Vector (0.7027, 0.0653)>
81 <Vector (-59.5140, 7.9969, 8.1846)> <Vector (0.7008, 0.0842)>
81 <Vector (-59.5140, 7.9969, 8.1846)> <Vector (0.7008, 0.0842)>
80 <Vector (-56.7619, 9.5170, 8.1846)> <Vector (0.6909, 0.0926)>
53 <Vector (-59.5140, 7.9969, 4.9249)> <Vector (0.6921, 0.0738)>
108 <Vector (-56.7619, 9.5170, 11.4443)> <Vector (0.6996, 0.1028)>
80 <Vector (-56.7619, 9.5170, 8.1846)> <Vector (0.6909, 0.0926)>
81 <Vector (-59.5140, 7.9969, 8.1846)> <Vector (0.7008, 0.0842)>
109 <Vector (-59.5140, 7.9969, 11.4443)> <Vector (0.7095, 0.0945)>
108 <Vector (-56.7619, 9.5170, 11.4443)> <Vector (0.6996, 0.1028)>
81 <Vector (-59.5140, 7.9969, 8.1846)> <Vector (0.7008, 0.0842)>
81 <Vector (-59.5140, 7.9969, 8.1846)> <Vector (0.7008, 0.0842)>
82 <Vector (-59.5801, 4.7360, 8.1846)> <Vector (0.7111, 0.0756)>
109 <Vector (-59.5140, 7.9969, 11.4443)> <Vector (0.7095, 0.0945)>
82 <Vector (-59.5801, 4.7360, 8.1846)> <Vector (0.7111, 0.0756)>
110 <Vector (-59.5801, 4.7360, 11.4443)> <Vector (0.7197, 0.0858)>
