<Vector (-0.3576, 0.6594, -0.6613)>
<Vector (-0.4763, 0.8783, 0.0404)>
<Vector (-0.4829, 0.8743, 0.0485)>
<Vector (-0.9950, 0.0000, 0.0998)>
<Vector (-0.9966, 0.0202, 0.0798)>
<Vector (-0.9998, 0.0203, 0.0000)>
<Vector (-0.4835, 0.8754, 0.0000)>
<Vector (-0.4835, 0.8754, 0.0000)>
<Vector (-0.4835, 0.8754, 0.0000)>
<Vector (-0.9998, 0.0203, 0.0000)>
<Vector (-0.9998, 0.0203, 0.0000)>
<Vector (-0.9998, 0.0203, 0.0000)>
<Vector (-0.4835, 0.8754, 0.0000)>
<Vector (-0.4835, 0.8754, 0.0000)>
<Vector (-0.4835, 0.8754, 0.0000)>
<Vector (-0.9998, 0.0203, 0.0000)>
<Vector (-0.9998, 0.0203, 0.0000)>
<Vector (-0.9998, 0.0203, 0.0000)>
<Vector (-0.4835, 0.8754, 0.0000)>
<Vector (-0.4835, 0.8754, 0.0000)>
<Vector (-0.4835, 0.8754, 0.0000)>
<Vector (-0.9998, 0.0203, 0.0000)>
<Vector (-0.9998, 0.0203, 0.0000)>
<Vector (-0.9998, 0.0203, 0.0000)>
<Vector (-0.4835, 0.8754, 0.0000)>
<Vector (-0.4835, 0.8754, 0.0000)>
<Vector (-0.4835, 0.8754, 0.0000)>
<Vector (-0.9998, 0.0203, 0.0000)>
<Vector (-0.9998, 0.0203, 0.0000)>
<Vector (-0.9998, 0.0203, 0.0000)>
<Vector (-0.4835, 0.8754, 0.0000)>
<Vector (-0.4835, 0.8754, 0.0000)>
<Vector (-0.4835, 0.8754, 0.0000)>
<Vector (-0.9998, 0.0203, 0.0000)>
<Vector (-0.9993, 0.0346, -0.0144)>
<Vector (-0.9944, 0.0345, -0.1000)>
<Vector (-0.4771, 0.8776, -0.0480)>
<Vector (-0.4325, 0.7955, -0.4244)>
<Vector (0.0000, 1.0000, 0.0000)>
<Vector (-0.0000, 1.0000, 0.0000)>
<Vector (-0.0000, 1.0000, 0.0000)>
<Vector (-0.0000, 1.0000, 0.0000)>
<Vector (-0.0000, 1.0000, 0.0000)>
<Vector (-0.0000, 1.0000, 0.0000)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (0.0000, 0.5139, 0.8579)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (-0.0000, -0.0000, 1.0000)>
<Vector (-0.0000, 0.0000, 1.0000)>
<Vector (0.0000, 0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (0.0000, -0.0000, 1.0000)>
<Vector (-0.0512, -0.0000, 0.9987)>
<Vector (-0.0512, 0.0000, 0.9987)>
<Vector (-0.8162, 0.0000, 0.5777)>
<Vector (-0.6612, 0.5864, 0.4679)>
<Vector (-0.6838, 0.4780, 0.5513)>
<Vector (-0.2473, 0.9689, 0.0000)>
<Vector (-0.2358, 0.9239, 0.3012)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.5138, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
<Vector (0.0000, 0.9508, 0.3099)>
<Vector (-0.0000, 0.5139, 0.8579)>
<Vector (-0.0000, 0.9508, 0.3099)>
